,kics,dnus
375,KIC2442363,-inf
376,KIC2442382,-inf
377,KIC2442483,-inf
378,KIC2442559,-inf
379,KIC2442606,-inf
380,KIC2442759,-inf
381,KIC2443035,-inf
382,KIC2443573,-inf
383,KIC2443691,-inf
384,KIC2443903,-inf
385,KIC2444062,-inf
386,KIC2444316,-inf
387,KIC2444348,-inf
388,KIC2444598,-inf
389,KIC2444691,-inf
390,KIC2444790,-inf
391,KIC2445426,-inf
392,KIC2445712,-inf
393,KIC2445833,-inf
394,KIC2445947,-inf
395,KIC2446141,-inf
396,KIC2446327,-inf
397,KIC2447046,-inf
398,KIC2447476,-inf
399,KIC2447529,-inf
400,KIC2447604,-inf
401,KIC2448225,-inf
402,KIC2448260,-inf
403,KIC2448679,-inf
404,KIC2448756,-inf
405,KIC2449020,-inf
406,KIC2449327,-inf
407,KIC2449374,-inf
408,KIC2449518,-inf
409,KIC2449558,-inf
410,KIC2449570,-inf
411,KIC2449703,-inf
412,KIC2449858,-inf
413,KIC2450318,-inf
414,KIC2451509,-inf
415,KIC2451903,-inf
416,KIC2452439,-inf
417,KIC2452890,-inf
418,KIC2554152,-inf
419,KIC2554924,-inf
420,KIC2556252,-inf
421,KIC2556387,-inf
422,KIC2556475,-inf
423,KIC2556640,-inf
424,KIC2557392,-inf
425,KIC2557441,-inf
426,KIC2557556,-inf
427,KIC2557799,-inf
428,KIC2557864,-inf
429,KIC2557942,-inf
430,KIC2558677,-inf
431,KIC2558794,-inf
432,KIC2568563,-inf
433,KIC2568912,-inf
434,KIC2569055,-inf
435,KIC2569360,-inf
436,KIC2569618,-inf
437,KIC2569945,-inf
438,KIC2570094,-inf
439,KIC2570172,-inf
440,KIC2570214,-inf
441,KIC2570244,-inf
442,KIC2570370,-inf
443,KIC2570384,-inf
444,KIC2570518,-inf
445,KIC2570659,-inf
446,KIC2570715,-inf
447,KIC2570870,-inf
448,KIC2571106,-inf
449,KIC2571323,-inf
450,KIC2571668,-inf
451,KIC2572089,-inf
452,KIC2572323,-inf
453,KIC2572430,-inf
454,KIC2572522,-inf
455,KIC2572667,-inf
456,KIC2573092,-inf
457,KIC2573548,-inf
458,KIC2574191,-inf
459,KIC2574543,-inf
460,KIC2575024,-inf
461,KIC2575044,-inf
462,KIC2576211,-inf
463,KIC2576417,-inf
464,KIC2576640,-inf
465,KIC2576993,-inf
466,KIC2577330,-inf
467,KIC2578184,-inf
468,KIC2578198,-inf
469,KIC2578301,-inf
470,KIC2578581,-inf
471,KIC2579142,-inf
472,KIC2579661,-inf
473,KIC2580691,-inf
474,KIC2580869,-inf
475,KIC2581394,-inf
476,KIC2581533,-inf
477,KIC2581583,-inf
478,KIC2582178,-inf
479,KIC2582764,-inf
480,KIC2583386,-inf
481,KIC2583651,-inf
482,KIC2583884,-inf
483,KIC2584189,-inf
484,KIC2584202,-inf
485,KIC2584477,-inf
486,KIC2584478,-inf
487,KIC2584997,-inf
488,KIC2585190,-inf
489,KIC2585358,-inf
490,KIC2692189,-inf
491,KIC2692438,-inf
492,KIC2692629,-inf
493,KIC2693261,-inf
494,KIC2693967,-inf
495,KIC2695267,-inf
496,KIC2695336,-inf
497,KIC2695592,-inf
498,KIC2695975,-inf
499,KIC2696115,-inf
500,KIC2696628,-inf
501,KIC2696732,-inf
502,KIC2696739,-inf
503,KIC2696955,-inf
504,KIC2697082,-inf
505,KIC2697306,-inf
506,KIC2697501,-inf
507,KIC2697907,-inf
508,KIC2706683,-inf
509,KIC2708270,-inf
510,KIC2708445,-inf
511,KIC2708803,-inf
512,KIC2709230,-inf
513,KIC2709587,-inf
514,KIC2709625,-inf
515,KIC2709877,-inf
516,KIC2710002,-inf
517,KIC2710171,-inf
518,KIC2710194,-inf
519,KIC2710472,-inf
520,KIC2711035,-inf
521,KIC2711123,-inf
522,KIC2711432,-inf
523,KIC2711477,-inf
524,KIC2712313,-inf
525,KIC2712534,-inf
526,KIC2712761,-inf
527,KIC2713172,-inf
528,KIC2713278,-inf
529,KIC2713305,-inf
530,KIC2713345,-inf
531,KIC2713391,-inf
532,KIC2713674,-inf
533,KIC2713894,-inf
534,KIC2714090,-inf
535,KIC2714108,-inf
536,KIC2714397,-inf
537,KIC2714470,-inf
538,KIC2714785,-inf
539,KIC2715523,-inf
540,KIC2715920,-inf
541,KIC2715975,-inf
542,KIC2716376,-inf
543,KIC2716608,-inf
544,KIC2717201,-inf
545,KIC2717478,-inf
546,KIC2718241,-inf
547,KIC2719113,-inf
548,KIC2719382,-inf
549,KIC2719466,-inf
550,KIC2719701,-inf
551,KIC2719795,-inf
552,KIC2720096,-inf
553,KIC2720444,-inf
554,KIC2720447,-inf
555,KIC2720777,-inf
556,KIC2721170,-inf
557,KIC2722294,-inf
558,KIC2722450,-inf
559,KIC2722473,-inf
560,KIC2722717,-inf
561,KIC2722819,-inf
562,KIC2831788,-inf
563,KIC2831815,-inf
564,KIC2832426,-inf
565,KIC2833089,-inf
566,KIC2833772,-inf
567,KIC2834229,-inf
568,KIC2834230,-inf
569,KIC2834607,-inf
570,KIC2835067,-inf
571,KIC2835283,-inf
572,KIC2835657,-inf
573,KIC2835720,-inf
574,KIC2836038,-inf
575,KIC2837276,-inf
576,KIC2845408,-inf
577,KIC2845610,-inf
578,KIC2845734,-inf
579,KIC2846051,-inf
580,KIC2846355,-inf
581,KIC2846543,-inf
582,KIC2846659,-inf
583,KIC2846944,-inf
584,KIC2847114,-inf
585,KIC2847541,-inf
586,KIC2847978,-inf
587,KIC2848618,-inf
588,KIC2848725,-inf
589,KIC2848857,-inf
590,KIC2848887,-inf
591,KIC2849057,-inf
592,KIC2849378,-inf
593,KIC2849476,-inf
594,KIC2849721,-inf
595,KIC2850010,-inf
596,KIC2850466,-inf
597,KIC2850480,-inf
598,KIC2850913,-inf
599,KIC2851014,-inf
600,KIC2852827,-inf
601,KIC2853089,-inf
602,KIC2853354,-inf
603,KIC2853631,-inf
604,KIC2853886,-inf
605,KIC2854297,-inf
606,KIC2854664,-inf
607,KIC2854735,-inf
608,KIC2854994,-inf
609,KIC2855034,-inf
610,KIC2855150,-inf
611,KIC2855443,-inf
612,KIC2855541,-inf
613,KIC2855642,-inf
614,KIC2855771,-inf
615,KIC2856328,-inf
616,KIC2856412,-inf
617,KIC2856589,-inf
618,KIC2856721,-inf
619,KIC2856795,-inf
620,KIC2856803,-inf
621,KIC2856815,-inf
622,KIC2856817,-inf
623,KIC2857130,-inf
624,KIC2858216,-inf
625,KIC2858440,-inf
626,KIC2859830,-inf
627,KIC2860010,-inf
628,KIC2860452,-inf
629,KIC2860746,-inf
630,KIC2860875,-inf
631,KIC2860885,-inf
632,KIC2860936,-inf
633,KIC2861042,-inf
634,KIC2861630,-inf
635,KIC2865296,-inf
636,KIC2969462,-inf
637,KIC2969846,-inf
638,KIC2970396,-inf
639,KIC2970584,-inf
640,KIC2970784,-inf
641,KIC2971380,-inf
642,KIC2971432,-inf
643,KIC2971713,-inf
644,KIC2972545,-inf
645,KIC2972637,-inf
646,KIC2972707,-inf
647,KIC2972876,-inf
648,KIC2973238,-inf
649,KIC2973469,-inf
650,KIC2973845,-inf
651,KIC2973894,-inf
652,KIC2974827,-inf
653,KIC2975717,-inf
654,KIC2982965,-inf
655,KIC2983341,-inf
656,KIC2983428,-inf
657,KIC2984102,-inf
658,KIC2984295,-inf
659,KIC2984382,-inf
660,KIC2984775,-inf
661,KIC2984937,-inf
662,KIC2985703,-inf
663,KIC2986322,-inf
664,KIC2986324,-inf
665,KIC2986661,-inf
666,KIC2987113,-inf
667,KIC2987297,-inf
668,KIC2988079,-inf
669,KIC2988295,-inf
670,KIC2988638,-inf
671,KIC2988655,-inf
672,KIC2988743,-inf
673,KIC2988988,-inf
674,KIC2989746,-inf
675,KIC2989840,-inf
676,KIC2989924,-inf
677,KIC2990932,-inf
678,KIC2991027,-inf
679,KIC2991043,-inf
680,KIC2992161,-inf
681,KIC2992250,-inf
682,KIC2992350,-inf
683,KIC2992573,-inf
684,KIC2993958,-inf
685,KIC2994573,-inf
686,KIC2994762,-inf
687,KIC2995050,-inf
688,KIC2995130,-inf
689,KIC2995197,-inf
690,KIC2995252,-inf
691,KIC2995656,-inf
692,KIC2995753,-inf
693,KIC2996019,-inf
694,KIC2996112,-inf
695,KIC2996738,-inf
696,KIC2997086,-inf
697,KIC2997353,-inf
698,KIC2997437,-inf
699,KIC2998011,-inf
700,KIC2998532,-inf
701,KIC3001667,-inf
702,KIC3001851,-inf
703,KIC3003053,-inf
704,KIC3003419,-inf
705,KIC3096473,-inf
706,KIC3096636,-inf
707,KIC3097169,-inf
708,KIC3097183,-inf
709,KIC3097194,-inf
710,KIC3097360,-inf
711,KIC3097819,-inf
712,KIC3098045,-inf
713,KIC3098179,-inf
714,KIC3098716,-inf
715,KIC3098759,-inf
716,KIC3099707,-inf
717,KIC3099759,-inf
718,KIC3099834,-inf
719,KIC3099932,-inf
720,KIC3099949,-inf
721,KIC3100053,-inf
722,KIC3100164,-inf
723,KIC3100193,-inf
724,KIC3100505,-inf
725,KIC3100575,-inf
726,KIC3101057,-inf
