KIC,Kpmag,QLen,DLen,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Gran,e_Gran,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase,dnu_acf
2572667,13.33,8,557.5,35.11,0.73,4.18,0.028,126.7,5.9,14.4,1.3,4086.1,352.3,4906,150,2.458,0.012,-0.05,0.3,1.25,0.11,10.94,0.35,1.2,0.11,10.72,0.35,1.26,0.11,10.99,0.36,2,
2573092,11.58,18,1318.0,35.43,0.96,4.052,0.05,110.8,4.2,17.8,1.6,3244.4,180.1,4732,80,2.454,0.013,0.09,0.15,1.38,0.14,11.54,0.46,1.28,0.13,11.09,0.44,1.4,0.15,11.6,0.47,2,
2573548,12.49,3,211.3,11.96,0.27,1.7080000000000002,0.033,286.9,21.4,4.6,0.8,38318.1,4530.2,4363,152,1.965,0.013,-0.16,0.3,1.49,0.18,21.04,1.06,1.31,0.16,19.75,0.97,1.45,0.18,20.8,1.04,0,
2574191,12.2,15,1139.0,31.55,1.13,4.047,0.077,110.6,5.4,13.6,1.9,4565.0,328.2,5132,159,2.422,0.017,-0.13,0.3,1.11,0.16,10.73,0.6,1.14,0.16,10.88,0.61,1.11,0.16,10.76,0.61,2,
2574543,13.25,7,548.1,37.23,0.4,4.078,0.023,108.8,6.5,13.0,0.9,2346.2,208.3,4864,149,2.482,0.009000000000000001,-0.12,0.3,1.63,0.11,12.13,0.32,1.51,0.11,11.7,0.3,1.66,0.12,12.24,0.32,2,
2575024,12.78,16,1221.3,32.99,0.62,3.919,0.03,113.4,5.2,13.6,1.4,3916.6,244.9,4738,80,2.424,0.01,0.04,0.15,1.28,0.1,11.49,0.34,1.18,0.09,11.04,0.32,1.29,0.1,11.54,0.34,2,
2575044,12.4,16,1221.3,32.22,0.47,4.145,0.028,122.2,6.0,12.7,1.0,4221.7,286.9,4886,80,2.42,0.008,-0.21,0.15,1.0,0.07,10.19,0.26,0.95,0.06,9.97,0.26,1.0,0.07,10.19,0.26,2,
2576211,13.55,7,467.3,33.0,0.86,4.0710000000000015,0.026,126.4,5.6,15.4,2.2,4194.0,348.6,4976,163,2.434,0.014,0.09,0.3,1.18,0.12,10.92,0.39,1.19,0.12,10.96,0.4,1.19,0.12,10.95,0.4,2,
2576417,12.99,10,704.3,59.18,0.52,5.9170000000000025,0.013,88.7,4.1,17.2,1.1,1225.6,142.4,4570,80,2.669,0.006999999999999999,0.3,0.15,1.34,0.07,8.88,0.17,1.22,0.06,8.45,0.16,1.35,0.07,8.89,0.17,1,
2576640,13.98,8,630.5,69.86,0.79,6.599,0.023,83.7,5.0,19.5,1.7,1477.5,247.9,4839,151,2.754,0.009000000000000001,0.01,0.3,1.56,0.11,8.67,0.22,1.46,0.1,8.4,0.21,1.58,0.11,8.73,0.22,1,
2576993,10.89,18,1318.1,31.38,0.78,4.124,0.053,119.1,5.4,13.8,1.6,5197.3,314.9,5015,148,2.414,0.013,-0.54,0.3,0.98,0.1,10.16,0.42,0.93,0.1,9.94,0.41,0.99,0.11,10.24,0.42,2,
2577330,12.71,7,467.3,31.79,0.8,3.989,0.038,124.2,4.5,14.3,1.8,5094.0,382.9,4867,149,2.4130000000000003,0.014,-0.13,0.3,1.11,0.11,10.83,0.41,1.05,0.11,10.55,0.4,1.11,0.11,10.86,0.41,2,
2578184,13.41,17,1308.7,126.87,0.81,10.945,0.016,63.4,2.3,35.1,1.3,112.0,19.9,4869,145,3.014,0.008,-0.12,0.3,1.24,0.08,5.74,0.12,1.17,0.07,5.57,0.12,1.26,0.08,5.77,0.13,1,
2578198,11.7,18,1318.2,67.91,0.8,6.544,0.014,55.1,2.6,23.1,1.5,570.4,41.0,4751,80,2.738,0.008,-0.04,0.15,1.44,0.08,8.49,0.18,1.31,0.07,8.12,0.17,1.45,0.08,8.53,0.18,1,
2578301,13.94,5,371.4,37.36,0.67,4.3180000000000005,0.076,101.0,5.0,15.0,1.5,2251.9,374.2,5084,168,2.4930000000000003,0.011,-0.06,0.3,1.4,0.15,11.1,0.5,1.4,0.15,11.11,0.5,1.42,0.15,11.19,0.51,2,
2578581,13.022,18,1318.18,209.16,1.47,15.946,0.032,,,,,,,4988,80,3.237,0.006,-0.08,0.15,1.28,0.06,4.51,0.08,1.26,0.06,4.47,0.08,1.3,0.06,4.54,0.08,1,
2579142,11.36,8,552.9,5.41,0.17,0.747,0.067,565.0,59.9,2.2,0.4,370877.1,65996.9,4124,100,1.608,0.015,-0.09,0.15,3.46,1.29,48.36,8.85,3.49,1.31,48.61,8.92,3.87,1.49,51.19,9.63,1,
2579661,12.2,18,1318.2,138.35,0.89,11.151,0.019,38.9,1.3,43.4,2.1,60.9,12.1,5095,100,3.062,0.006999999999999999,-0.15,0.15,1.6,0.08,6.17,0.12,1.57,0.08,6.12,0.11,1.64,0.08,6.24,0.12,1,
2580691,13.47,8,557.6,57.06,0.88,5.7920000000000025,0.011,78.7,5.5,16.6,1.4,1738.6,142.3,4590,80,2.655,0.009000000000000001,0.14,0.15,1.32,0.09,8.96,0.21,1.19,0.08,8.49,0.19,1.33,0.09,8.98,0.21,1,
2580869,13.34,7,467.3,19.04,0.74,2.888,0.03,154.5,9.4,13.1,4.9,15084.0,1534.9,5005,164,2.197,0.019,-0.54,0.3,0.9,0.12,12.55,0.62,0.87,0.12,12.32,0.6,0.91,0.13,12.6,0.62,2,
2581394,13.52,8,557.6,37.57,2.41,4.125,0.111,94.7,3.9,21.5,3.6,1037.6,315.3,5070,164,2.495,0.029,-0.25,0.3,1.7,0.39,12.22,1.06,1.64,0.37,11.99,1.03,1.74,0.4,12.38,1.07,2,
2581533,13.44,7,467.3,54.61,0.41,5.399,0.021,79.4,3.2,17.4,1.1,1031.7,91.9,4683,80,2.64,0.006999999999999999,0.18,0.15,1.58,0.08,9.96,0.2,1.45,0.08,9.55,0.19,1.6,0.08,10.04,0.2,1,
2581583,13.97,16,1276.3,33.18,1.64,4.103,0.061,136.4,9.5,13.7,2.2,8355.6,1066.8,4831,169,2.43,0.023,-0.3,0.3,1.11,0.19,10.65,0.66,1.01,0.17,10.15,0.62,1.11,0.19,10.64,0.66,2,
2582178,13.68,6,457.9,60.37,0.61,6.1370000000000005,0.018000000000000002,78.7,5.2,18.7,1.9,1343.0,143.9,4942,160,2.695,0.009000000000000001,-0.03,0.3,1.39,0.1,8.76,0.21,1.34,0.09,8.6,0.21,1.41,0.1,8.82,0.22,1,
2582764,12.05,7,548.2,32.51,0.84,4.0939999999999985,0.023,93.2,4.3,13.5,1.3,2640.0,256.8,4850,80,2.422,0.013,-0.23,0.15,1.06,0.1,10.5,0.34,0.99,0.09,10.12,0.33,1.07,0.1,10.51,0.34,2,
2583386,11.76,15,1056.8,72.72,0.95,6.339,0.032,54.7,4.2,28.6,9.9,495.7,175.9,4766,80,2.768,0.008,0.37,0.15,2.02,0.13,9.71,0.23,1.92,0.12,9.49,0.22,2.03,0.13,9.75,0.23,1,
2583651,10.61,18,1318.2,34.22,0.67,3.971,0.037000000000000005,127.6,5.1,13.5,1.2,4275.2,232.6,4798,150,2.442,0.012,0.56,0.3,1.38,0.13,11.68,0.4,1.34,0.12,11.53,0.39,1.4,0.13,11.77,0.4,2,
2583884,10.41,18,1318.2,56.93,0.92,5.537000000000001,0.018000000000000002,49.0,1.9,22.8,1.8,603.6,31.8,4907,80,2.668,0.009000000000000001,0.02,0.15,1.74,0.12,10.11,0.24,1.65,0.11,9.86,0.23,1.78,0.12,10.23,0.24,2,
2584189,13.24,15,1211.9,29.85,0.47,4.266,0.104,151.3,7.3,12.6,1.1,7966.0,562.2,5024,162,2.393,0.011,-0.84,0.3,0.74,0.09,9.04,0.5,0.7,0.09,8.83,0.49,0.78,0.1,9.31,0.52,2,
2584202,11.82,6,370.7,39.94,0.82,4.354,0.02,80.8,4.0,16.0,1.4,1540.7,289.7,4665,163,2.503,0.012,-0.28,0.3,1.45,0.13,11.18,0.36,1.28,0.12,10.5,0.33,1.43,0.13,11.09,0.35,1,
2584477,12.41,18,1318.2,112.16,0.72,9.749,0.016,60.4,1.9,34.1,1.4,111.0,21.4,4780,80,2.957,0.006,0.19,0.15,1.33,0.06,6.34,0.11,1.26,0.06,6.17,0.11,1.34,0.06,6.37,0.11,1,
2584478,12.76,18,1318.2,180.05,1.08,13.918,0.015,37.4,1.5,50.8,3.3,37.1,7.1,4877,80,3.167,0.006,0.17,0.15,1.36,0.06,5.04,0.09,1.32,0.06,4.96,0.09,1.38,0.07,5.07,0.09,1,
2584997,12.15,18,1318.2,188.35,1.38,14.448,0.032,41.3,1.6,50.7,1.8,32.2,5.4,4936,144,3.189,0.008,0.05,0.3,1.37,0.08,4.93,0.11,1.33,0.08,4.86,0.11,1.38,0.09,4.96,0.11,1,
2585190,12.24,16,1221.4,47.63,1.17,4.756,0.05,55.4,2.9,19.2,1.9,1063.9,107.8,5140,165,2.6010000000000004,0.013,-0.19,0.3,2.0,0.21,11.73,0.46,1.98,0.21,11.68,0.45,2.07,0.22,11.93,0.46,2,
2585358,12.94,8,557.6,33.72,0.46,3.97,0.041,119.4,4.7,13.5,1.3,3442.9,393.4,4695,80,2.431,0.008,0.07,0.15,1.28,0.09,11.39,0.34,1.17,0.08,10.89,0.32,1.29,0.09,11.43,0.34,2,
2692189,13.53,17,1308.5,30.23,0.55,4.124,0.08900000000000001,104.2,5.8,10.3,4.4,4600.6,558.4,5275,160,2.4090000000000003,0.011,-0.24,0.3,0.94,0.11,10.03,0.51,0.99,0.12,10.31,0.53,0.94,0.11,10.03,0.51,2,
2692438,10.59,4,206.3,11.09,1.03,1.664,0.101,252.1,44.3,4.7,1.0,52404.2,9655.5,4554,131,1.941,0.041,-0.37,0.3,1.4,0.53,21.0,3.24,1.22,0.45,19.61,2.96,1.36,0.51,20.69,3.18,0,
2692629,13.114,18,1317.94,209.91,1.22,16.324,0.056,,,,,,,5181,156,3.247,0.008,-0.38,0.3,1.25,0.08,4.41,0.1,1.26,0.08,4.42,0.1,1.27,0.08,4.45,0.1,1,
2693261,10.08,18,1317.9,34.09,1.18,3.926,0.014,79.1,4.0,15.3,2.1,3035.5,205.9,4723,100,2.437,0.016,0.2,0.15,1.39,0.16,11.81,0.47,1.3,0.15,11.41,0.45,1.41,0.16,11.89,0.47,2,
2693967,12.66,18,1317.9,84.48,1.06,7.027,0.034,34.6,1.9,32.0,3.1,166.6,48.3,5054,80,2.846,0.008,-0.09,0.15,2.28,0.14,9.45,0.21,2.28,0.14,9.43,0.21,2.38,0.14,9.64,0.22,2,
2695267,9.51,18,1317.9,29.73,1.04,3.988,0.081,140.4,5.7,13.8,1.8,5214.7,513.2,4961,100,2.388,0.016,-0.41,0.15,0.93,0.13,10.23,0.58,0.9,0.13,10.02,0.56,0.95,0.13,10.32,0.58,2,
